Essential Question,Domain,Type,Sector,Indicator,Metric,Data Element,Ed-Fi Availability,Ed-Fi Data Element Path,CEDS Availability,CEDS Data Element Path V11,CEDS Data Element Path V13,Other Data Sources,Data Capture Method,Data Status,Notes,Classification,CEDS Queries V11,CEDS Queries V13,Column 2,Column 21,Column 4,Column 5,Column 6,Column 7,Column 8
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",E-W System Conditions,PK,Representational racial and ethnic diversity of educators,Educational staff composition by race and ethnicity (%) compared to student composition by race and ethnicity (%),Staff race/ethnicity,Likely not available,"Staff.Race, Staff.HispanicLatinoEthnicity",,,,,Automated,Available,"State Report Card shows educator race/ethnicity, which suggests that the state collects this information.",,PK Tables not available in CEDS DWH,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",E-W System Conditions,PK,Representational racial and ethnic diversity of educators,Same-race student–teacher ratio by race and ethnicity,Student race/ethnicity,Likely not available,"StudentEducationOrganizationAssociation.Race, StudentEducationOrganizationAssociation.HispanicLatinoEthnicity",,,,,Automated,Available,,,PK Tables not available in CEDS DWH,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",E-W System Conditions,PK,Representational racial and ethnic diversity of educators,Same-race student–teacher ratio by race and ethnicity,Staff race/ethnicity,Likely not available,"Staff.Race, Staff.HispanicLatinoEthnicity",,,,,Automated,Available,"State Report Card shows educator race/ethnicity, which suggests that the state collects this information.",,PK Tables not available in CEDS DWH,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",E-W System Conditions,K12,Representational racial and ethnic diversity of educators,Educational staff composition by race and ethnicity (%) compared to student composition by race and ethnicity (%),Student race/ethnicity,Found,"StudentEducationOrganizationAssociation.Race, StudentEducationOrganizationAssociation.HispanicLatinoEthnicity",,,,,Automated,Available,,,"SELECT 
  'Race/ethnicity' AS DataElementName,
  'RecordCount' AS CharacteristicType,
  CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
  NULL AS Remarks
FROM RDS.FactK12StudentEnrollments f
JOIN RDS.BridgeK12StudentEnrollmentRaces b
	ON f.FactK12StudentEnrollmentId = b.FactK12StudentEnrollmentId
JOIN RDS.DimRaces d
	ON b.RaceId = d.DimRaceId",,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",E-W System Conditions,K12,Representational racial and ethnic diversity of educators,Educational staff composition by race and ethnicity (%) compared to student composition by race and ethnicity (%),Staff race/ethnicity,Found,"Staff.Race, Staff.HispanicLatinoEthnicity",,,,,Automated,Available,"State Report Card shows educator race/ethnicity, which suggests that the state collects this information.",,Staff Tables not available in CEDS DWH,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",E-W System Conditions,K12,Representational racial and ethnic diversity of educators,Same-race student–teacher ratio by race and ethnicity,Student race/ethnicity,Found,"StudentEducationOrganizationAssociation.Race, StudentEducationOrganizationAssociation.HispanicLatinoEthnicity",,,,,Automated,Available,,,"SELECT 
  'Race/ethnicity' AS DataElementName,
  'RecordCount' AS CharacteristicType,
  CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
  NULL AS Remarks
FROM RDS.FactK12StudentEnrollments f
JOIN RDS.BridgeK12StudentEnrollmentRaces b
	ON f.FactK12StudentEnrollmentId = b.FactK12StudentEnrollmentId
JOIN RDS.DimRaces d
	ON b.RaceId = d.DimRaceId",,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",E-W System Conditions,K12,Representational racial and ethnic diversity of educators,Same-race student–teacher ratio by race and ethnicity,Staff race/ethnicity,Found,"Staff.Race, Staff.HispanicLatinoEthnicity",,,,,Automated,Available,"State Report Card shows educator race/ethnicity, which suggests that the state collects this information.",,Staff Tables not available in CEDS DWH,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",E-W System Conditions,PS,Representational racial and ethnic diversity of educators,Educational staff composition by race and ethnicity (%) compared to student composition by race and ethnicity (%),Student race/ethnicity,Partial,"StudentEducationOrganizationAssociation.Race, StudentEducationOrganizationAssociation.HispanicLatinoEthnicity",,,,,Automated,Available,,,"SELECT 
  'Race/ethnicity' AS DataElementName,
  'RecordCount' AS CharacteristicType,
  CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
  NULL AS Remarks
FROM RDS.FactPsStudentEnrollments f
JOIN RDS.BridgePsStudentEnrollmentRaces b
        ON f.FactPsStudentEnrollmentId = b.FactPsStudentEnrollmentId
JOIN RDS.DimRaces d
        ON b.RaceId = d.DimRaceId",,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",E-W System Conditions,PS,Representational racial and ethnic diversity of educators,Educational staff composition by race and ethnicity (%) compared to student composition by race and ethnicity (%),Staff race/ethnicity,Not Found,N/A,,,,,Automated,Available,"State Report Card shows educator race/ethnicity, which suggests that the state collects this information.",,Staff Tables not available in CEDS DWH,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",E-W System Conditions,PS,Representational racial and ethnic diversity of educators,Same-race student–teacher ratio by race and ethnicity,Student race/ethnicity,Partial,"StudentEducationOrganizationAssociation.Race, StudentEducationOrganizationAssociation.HispanicLatinoEthnicity",,,,,Automated,Available,,,"SELECT 
  'Race/ethnicity' AS DataElementName,
  'RecordCount' AS CharacteristicType,
  CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
  NULL AS Remarks
FROM RDS.FactPsStudentEnrollments f
JOIN RDS.BridgePsStudentEnrollmentRaces b
	ON f.FactPsStudentEnrollmentId = b.FactPsStudentEnrollmentId
JOIN RDS.DimRaces d
	ON b.RaceId = d.DimRaceId",,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",E-W System Conditions,PS,Representational racial and ethnic diversity of educators,Same-race student–teacher ratio by race and ethnicity,Staff race/ethnicity,Found,"Staff.Race, Staff.HispanicLatinoEthnicity",,,,,Automated,Available,"State Report Card shows educator race/ethnicity, which suggests that the state collects this information.",,Staff Tables not available in CEDS DWH,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",E-W System Conditions,PK,School and workplace racial and ethnic diversity,Student body composition by race and ethnicity (%) - Pre-K,Student race/ethnicity,Likely not available,"StudentEducationOrganizationAssociation.Race, StudentEducationOrganizationAssociation.HispanicLatinoEthnicity",,,,ALSDE Data Code Manual,Automated,Available,,,PK Tables not available in CEDS DWH,,,,,,,,
